Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg),Life Stage
Poodle,Small,Male,5.0,Unknown,Very Active,1.0,10.0,3.0,0.0,12.25,Adult
German Shepherd,Large,Male,3.0,Unknown,Unknown,5.0,11.0,2.0,3.0,30.15,Young Adult
Doberman,Large,Male,2.0,Unknown,Moderate,4.0,11.0,0.0,3.0,35.67,Young Adult
Poodle,Small,Male,5.0,Spayed,Very Active,2.0,12.0,0.0,1.0,12.25,Adult
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,2.0,1.0,24.95,Young Adult
Poodle,Small,Male,5.0,Spayed,Moderate,2.0,11.0,1.0,1.0,27.67,Adult
Bulldog,Medium,Male,4.0,Spayed,Low,4.0,10.0,3.0,1.0,22.52,Young Adult
Labrador Retriever,Large,Male,11.0,Neutered,Active,0.0,10.0,1.0,1.0,27.67,Senior
Boxer,Medium,Male,11.0,Unknown,Active,1.0,11.0,2.0,2.0,26.31,Senior
Beagle,Small,Male,13.0,Neutered,Very Active,3.0,11.0,0.0,1.0,13.15,Senior
Yorkshire Terrier,Small,Female,1.0,Unknown,Unknown,4.0,11.0,0.0,0.0,2.51,Puppy
Dachshund,Small,Female,13.0,Unknown,Active,3.0,11.0,2.0,2.0,5.3,Senior
German Shepherd,Large,Female,8.0,Neutered,Active,4.0,11.0,1.0,3.0,31.75,Senior
Rottweiler,Large,Male,7.0,Spayed,Unknown,2.0,9.0,1.0,3.0,46.62,Adult
Unknown,Small,Male,1.0,Spayed,Moderate,2.0,12.0,0.0,1.0,14.51,Puppy
Golden Retriever,Large,Female,7.0,Unknown,Low,2.0,11.0,2.0,1.0,27.51,Adult
Beagle,Small,Female,7.0,Spayed,Moderate,4.0,10.0,1.0,1.0,12.31,Adult
Australian Shepherd,Medium,Male,7.0,Unknown,Active,3.0,11.0,4.0,2.0,22.28,Adult
Dachshund,Small,Female,2.0,Spayed,Low,1.0,11.0,2.0,1.0,6.66,Young Adult
Beagle,Small,Female,13.0,Spayed,Active,1.0,12.0,1.0,1.0,9.5,Senior
Yorkshire Terrier,Unknown,Male,6.0,Unknown,Low,2.0,12.0,0.0,1.0,4.48,Adult
Chihuahua,Small,Female,5.0,Neutered,Unknown,2.0,10.0,3.0,1.0,2.5,Adult
Labrador Retriever,Large,Female,8.0,Neutered,Very Active,3.0,10.0,1.0,3.0,26.78,Senior
Yorkshire Terrier,Small,Male,9.0,Unknown,Very Active,6.0,10.0,1.0,1.0,4.93,Senior
Doberman,Large,Female,11.0,Neutered,Very Active,4.0,12.0,0.0,1.0,36.29,Senior
Chihuahua,Small,Female,8.0,Neutered,Moderate,5.0,11.0,1.0,4.0,3.55,Senior
Golden Retriever,Large,Male,13.0,Spayed,Moderate,1.0,10.0,1.0,0.0,26.93,Senior
Yorkshire Terrier,Small,Male,13.0,Unknown,Very Active,0.0,11.0,3.0,0.0,2.1,Senior
Dachshund,Small,Female,7.0,Neutered,Unknown,2.0,11.0,4.0,1.0,7.25,Adult
Yorkshire Terrier,Small,Female,5.0,Spayed,Moderate,2.0,13.0,4.0,1.0,3.27,Adult
German Shepherd,Large,Unknown,9.0,Neutered,Very Active,2.0,11.0,2.0,0.0,24.04,Senior
Great Dane,Large,Female,13.0,Spayed,Unknown,3.0,13.0,1.0,3.0,55.72,Senior
Australian Shepherd,Medium,Female,10.0,Spayed,Active,4.0,11.0,2.0,1.0,31.3,Senior
Yorkshire Terrier,Small,Female,10.0,Spayed,Unknown,3.0,11.0,3.0,2.0,3.11,Senior
Dachshund,Small,Female,9.0,Unknown,Moderate,3.0,9.0,2.0,4.0,6.13,Senior
Great Dane,Large,Male,5.0,Unknown,Unknown,0.0,11.0,1.0,0.0,55.01,Adult
Golden Retriever,Large,Male,11.0,Spayed,Unknown,6.0,11.0,3.0,1.0,29.15,Senior
Bulldog,Medium,Female,4.0,Unknown,Very Active,4.0,11.0,1.0,1.0,24.76,Young Adult
Boxer,Medium,Male,10.0,Spayed,Active,3.0,9.0,1.0,3.0,32.03,Senior
Siberian Husky,Medium,Female,3.0,Unknown,Low,2.0,11.0,1.0,2.0,17.94,Young Adult
Siberian Husky,Medium,Male,12.0,Spayed,Very Active,5.0,12.0,3.0,1.0,20.52,Senior
Labrador Retriever,Large,Male,9.0,Neutered,Low,5.0,12.0,2.0,1.0,35.13,Senior
Doberman,Large,Male,6.0,Spayed,Very Active,1.0,11.0,1.0,0.0,31.32,Adult
Great Dane,Large,Female,4.0,Neutered,Moderate,5.0,11.0,2.0,2.0,60.22,Young Adult
German Shepherd,Large,Female,11.0,Neutered,Low,2.0,11.0,2.0,1.0,29.94,Senior
German Shepherd,Large,Male,2.0,Spayed,Low,2.0,11.0,2.0,1.0,22.23,Young Adult
Poodle,Small,Male,1.0,Neutered,Active,3.0,11.0,2.0,1.0,28.12,Puppy
German Shepherd,Large,Male,4.0,Spayed,Very Active,2.0,11.0,1.0,0.0,32.73,Young Adult
Labrador Retriever,Large,Female,9.0,Spayed,Very Active,3.0,13.0,2.0,2.0,26.14,Senior
Yorkshire Terrier,Small,Male,4.0,Neutered,Very Active,1.0,10.0,3.0,1.0,4.43,Young Adult
Boxer,Medium,Male,9.0,Spayed,Moderate,1.0,10.0,1.0,2.0,34.27,Senior
Chihuahua,Small,Male,9.0,Neutered,Low,2.0,11.0,3.0,3.0,1.46,Senior
Bulldog,Medium,Male,12.0,Spayed,Moderate,3.0,10.0,2.0,2.0,24.95,Senior
Rottweiler,Large,Male,9.0,Spayed,Low,4.0,13.0,1.0,3.0,54.57,Senior
Siberian Husky,Medium,Male,11.0,Unknown,Active,2.0,10.0,2.0,1.0,18.04,Senior
Golden Retriever,Large,Female,7.0,Unknown,Low,1.0,14.0,2.0,0.0,30.84,Adult
Yorkshire Terrier,Small,Male,10.0,Unknown,Active,4.0,10.0,2.0,3.0,2.6,Senior
Boxer,Medium,Female,7.0,Neutered,Low,2.0,13.0,0.0,1.0,33.19,Adult
Siberian Husky,Medium,Female,1.0,Unknown,Active,3.0,13.0,3.0,1.0,19.96,Puppy
Doberman,Large,Male,4.0,Spayed,Active,1.0,10.0,2.0,1.0,28.12,Young Adult
Great Dane,Large,Female,13.0,Unknown,Very Active,2.0,11.0,1.0,1.0,79.02,Senior
Beagle,Small,Female,2.0,Neutered,Active,3.0,11.0,2.0,0.0,15.63,Young Adult
Beagle,Small,Male,4.0,Neutered,Moderate,3.0,11.0,2.0,1.0,13.07,Young Adult
Yorkshire Terrier,Small,Female,12.0,Spayed,Moderate,5.0,11.0,0.0,0.0,3.27,Senior
Yorkshire Terrier,Unknown,Female,3.0,Unknown,Low,0.0,10.0,2.0,1.0,4.41,Young Adult
Yorkshire Terrier,Small,Male,2.0,Spayed,Very Active,6.0,10.0,1.0,1.0,2.32,Young Adult
Chihuahua,Small,Male,8.0,Neutered,Active,2.0,12.0,1.0,2.0,2.36,Senior
Chihuahua,Small,Male,9.0,Neutered,Active,0.0,9.0,2.0,2.0,1.04,Senior
Dachshund,Small,Male,12.0,Spayed,Moderate,5.0,8.0,2.0,2.0,5.91,Senior
Chihuahua,Small,Unknown,5.0,Spayed,Moderate,2.0,13.0,2.0,2.0,1.79,Adult
Labrador Retriever,Large,Female,9.0,Neutered,Low,5.0,11.0,2.0,1.0,31.3,Senior
Golden Retriever,Large,Female,2.0,Neutered,Low,5.0,10.0,1.0,1.0,25.33,Young Adult
Golden Retriever,Large,Male,12.0,Spayed,Very Active,1.0,12.0,1.0,3.0,33.3,Senior
Yorkshire Terrier,Small,Female,10.0,Unknown,Very Active,1.0,8.0,2.0,2.0,4.3,Senior
Great Dane,Large,Male,2.0,Spayed,Active,1.0,13.0,2.0,1.0,57.2,Young Adult
Dachshund,Small,Male,6.0,Neutered,Active,3.0,13.0,1.0,1.0,8.39,Adult
Dachshund,Small,Male,10.0,Neutered,Unknown,0.0,11.0,4.0,1.0,8.83,Senior
Labrador Retriever,Large,Female,11.0,Neutered,Unknown,5.0,13.0,2.0,3.0,33.71,Senior
Bulldog,Medium,Female,13.0,Unknown,Unknown,4.0,11.0,2.0,2.0,22.65,Senior
Bulldog,Medium,Male,4.0,Spayed,Unknown,4.0,11.0,2.0,1.0,19.74,Young Adult
Great Dane,Large,Female,1.0,Spayed,Unknown,2.0,12.0,2.0,4.0,77.98,Puppy
Poodle,Small,Female,8.0,Neutered,Active,0.0,13.0,2.0,2.0,21.77,Senior
Australian Shepherd,Medium,Male,7.0,Spayed,Active,4.0,11.0,2.0,0.0,19.5,Adult
Beagle,Small,Male,10.0,Unknown,Active,2.0,11.0,0.0,4.0,9.85,Senior
Bulldog,Medium,Female,6.0,Unknown,Active,3.0,11.0,0.0,0.0,19.5,Adult
Bulldog,Medium,Male,8.0,Neutered,Active,4.0,13.0,3.0,0.0,22.62,Senior
Boxer,Medium,Male,2.0,Spayed,Active,2.0,11.0,2.0,2.0,29.48,Young Adult
German Shepherd,Large,Unknown,13.0,Neutered,Unknown,2.0,10.0,0.0,1.0,38.43,Senior
Great Dane,Large,Male,11.0,Spayed,Very Active,3.0,8.0,1.0,3.0,60.38,Senior
German Shepherd,Large,Female,8.0,Neutered,Unknown,2.0,12.0,1.0,1.0,24.95,Senior
Great Dane,Large,Male,6.0,Neutered,Low,2.0,9.0,3.0,0.0,52.6,Adult
Dachshund,Small,Male,8.0,Neutered,Active,4.0,9.0,1.0,1.0,5.06,Senior
Great Dane,Large,Male,10.0,Spayed,Moderate,3.0,14.0,2.0,1.0,52.85,Senior
Dachshund,Small,Female,12.0,Unknown,Low,3.0,12.0,2.0,1.0,6.61,Senior
Beagle,Unknown,Male,8.0,Unknown,Very Active,3.0,12.0,2.0,1.0,14.47,Senior
Chihuahua,Small,Male,12.0,Neutered,Low,2.0,12.0,2.0,1.0,3.01,Senior
Golden Retriever,Large,Male,6.0,Neutered,Active,3.0,11.0,2.0,0.0,31.3,Adult
Doberman,Large,Male,7.0,Neutered,Moderate,2.0,12.0,3.0,1.0,33.94,Adult
Poodle,Small,Male,10.0,Spayed,Very Active,0.0,13.0,1.0,2.0,12.25,Senior
Golden Retriever,Large,Male,4.0,Spayed,Moderate,5.0,9.0,0.0,3.0,25.55,Young Adult
Labrador Retriever,Large,Female,11.0,Neutered,Active,3.0,12.0,1.0,2.0,30.75,Senior
Beagle,Small,Female,12.0,Neutered,Active,3.0,12.0,0.0,1.0,9.01,Senior
Great Dane,Large,Male,8.0,Unknown,Very Active,3.0,8.0,2.0,1.0,56.71,Senior
Yorkshire Terrier,Unknown,Female,6.0,Spayed,Very Active,1.0,9.0,2.0,1.0,2.6,Adult
German Shepherd,Large,Female,5.0,Unknown,Active,4.0,14.0,1.0,1.0,23.76,Adult
Siberian Husky,Medium,Female,5.0,Spayed,Very Active,4.0,13.0,2.0,1.0,26.07,Adult
Dachshund,Small,Female,7.0,Neutered,Unknown,1.0,8.0,2.0,2.0,7.24,Adult
Great Dane,Large,Male,1.0,Unknown,Very Active,2.0,13.0,1.0,2.0,71.99,Puppy
Unknown,Large,Male,8.0,Unknown,Very Active,6.0,14.0,1.0,2.0,13.61,Senior
Bulldog,Medium,Male,1.0,Neutered,Unknown,3.0,10.0,1.0,1.0,20.57,Puppy
Poodle,Small,Female,10.0,Neutered,Active,4.0,10.0,1.0,3.0,23.13,Senior
Golden Retriever,Large,Female,13.0,Neutered,Unknown,5.0,11.0,1.0,1.0,31.58,Senior
Siberian Husky,Medium,Female,7.0,Neutered,Unknown,5.0,10.0,1.0,1.0,21.77,Adult
Beagle,Small,Unknown,4.0,Spayed,Very Active,3.0,11.0,2.0,0.0,11.61,Young Adult
Beagle,Small,Male,8.0,Spayed,Very Active,5.0,10.0,3.0,2.0,15.31,Senior
Poodle,Small,Female,6.0,Spayed,Active,1.0,9.0,2.0,1.0,25.37,Adult
Chihuahua,Small,Male,2.0,Unknown,Very Active,4.0,12.0,1.0,3.0,3.41,Young Adult
Doberman,Large,Male,12.0,Spayed,Active,2.0,13.0,1.0,0.0,29.03,Senior
Siberian Husky,Unknown,Male,11.0,Neutered,Unknown,0.0,14.0,2.0,1.0,21.8,Senior
German Shepherd,Large,Female,7.0,Unknown,Active,4.0,11.0,3.0,2.0,29.03,Adult
Chihuahua,Small,Female,6.0,Unknown,Very Active,2.0,10.0,2.0,2.0,3.53,Adult
Yorkshire Terrier,Small,Female,9.0,Neutered,Very Active,1.0,12.0,2.0,3.0,2.37,Senior
Yorkshire Terrier,Small,Male,11.0,Unknown,Moderate,6.0,12.0,1.0,3.0,2.38,Senior
Doberman,Large,Male,3.0,Unknown,Very Active,4.0,10.0,1.0,1.0,28.14,Young Adult
Beagle,Small,Male,4.0,Unknown,Very Active,1.0,8.0,3.0,0.0,13.35,Young Adult
Dachshund,Small,Female,1.0,Spayed,Unknown,0.0,8.0,3.0,3.0,6.21,Puppy
Bulldog,Medium,Male,8.0,Spayed,Moderate,3.0,11.0,3.0,2.0,20.09,Senior
Golden Retriever,Large,Female,12.0,Neutered,Low,3.0,11.0,2.0,1.0,26.01,Senior
Golden Retriever,Large,Female,9.0,Neutered,Unknown,2.0,12.0,2.0,4.0,30.36,Senior
Boxer,Medium,Female,13.0,Spayed,Moderate,2.0,9.0,3.0,4.0,30.91,Senior
Yorkshire Terrier,Small,Female,3.0,Unknown,Moderate,3.0,9.0,2.0,0.0,3.8,Young Adult
Dachshund,Small,Female,9.0,Unknown,Moderate,1.0,10.0,2.0,2.0,5.48,Senior
Rottweiler,Large,Male,11.0,Neutered,Low,3.0,10.0,1.0,1.0,59.23,Senior
Bulldog,Medium,Female,11.0,Neutered,Low,4.0,12.0,2.0,1.0,23.97,Senior
Dachshund,Small,Female,2.0,Unknown,Active,1.0,10.0,2.0,3.0,7.01,Young Adult
Poodle,Small,Male,10.0,Spayed,Moderate,3.0,12.0,1.0,2.0,25.4,Senior
Doberman,Large,Male,6.0,Unknown,Very Active,2.0,11.0,2.0,1.0,31.3,Adult
Great Dane,Large,Female,12.0,Unknown,Very Active,0.0,12.0,2.0,2.0,50.79,Senior
Great Dane,Large,Male,10.0,Neutered,Active,3.0,12.0,0.0,4.0,65.1,Senior
Poodle,Small,Female,6.0,Neutered,Moderate,0.0,11.0,2.0,3.0,27.67,Adult
Golden Retriever,Large,Male,1.0,Unknown,Very Active,4.0,11.0,0.0,3.0,25.14,Puppy
Bulldog,Medium,Female,7.0,Spayed,Active,1.0,13.0,1.0,1.0,18.94,Adult
German Shepherd,Large,Male,9.0,Spayed,Very Active,3.0,11.0,2.0,4.0,29.94,Senior
Beagle,Small,Male,6.0,Neutered,Very Active,2.0,9.0,2.0,1.0,11.66,Adult
Beagle,Small,Female,5.0,Unknown,Very Active,2.0,12.0,1.0,1.0,11.79,Adult
Labrador Retriever,Large,Male,4.0,Unknown,Very Active,3.0,11.0,2.0,1.0,34.27,Young Adult
Dachshund,Small,Female,4.0,Spayed,Active,2.0,10.0,3.0,2.0,8.96,Young Adult
Golden Retriever,Large,Male,3.0,Neutered,Unknown,3.0,14.0,3.0,2.0,29.46,Young Adult
Beagle,Small,Female,13.0,Neutered,Unknown,5.0,14.0,1.0,1.0,15.34,Senior
Siberian Husky,Medium,Male,2.0,Spayed,Active,2.0,9.0,2.0,0.0,26.13,Young Adult
Rottweiler,Large,Male,5.0,Unknown,Unknown,4.0,9.0,2.0,1.0,47.38,Adult
Poodle,Small,Male,3.0,Neutered,Very Active,3.0,9.0,1.0,2.0,22.68,Young Adult
Australian Shepherd,Medium,Male,13.0,Neutered,Active,0.0,12.0,1.0,1.0,23.13,Senior
Yorkshire Terrier,Small,Male,3.0,Unknown,Low,3.0,12.0,1.0,2.0,3.2,Young Adult
Great Dane,Large,Female,4.0,Spayed,Very Active,5.0,12.0,2.0,1.0,75.57,Young Adult
Boxer,Medium,Male,5.0,Spayed,Unknown,0.0,9.0,0.0,1.0,28.12,Adult
Doberman,Large,Male,1.0,Spayed,Unknown,1.0,11.0,1.0,1.0,28.07,Puppy
Labrador Retriever,Large,Female,9.0,Spayed,Active,3.0,8.0,0.0,1.0,25.97,Senior
Rottweiler,Large,Female,4.0,Spayed,Active,3.0,9.0,0.0,0.0,54.22,Young Adult
Golden Retriever,Large,Unknown,4.0,Neutered,Unknown,5.0,10.0,2.0,1.0,27.22,Young Adult
Yorkshire Terrier,Small,Male,7.0,Neutered,Low,1.0,12.0,1.0,2.0,4.78,Adult
Chihuahua,Small,Female,2.0,Neutered,Active,3.0,9.0,2.0,0.0,2.5,Young Adult
Australian Shepherd,Medium,Female,13.0,Spayed,Very Active,4.0,11.0,1.0,1.0,22.68,Senior
Labrador Retriever,Large,Female,11.0,Unknown,Moderate,1.0,12.0,0.0,1.0,32.21,Senior
Rottweiler,Large,Male,2.0,Neutered,Low,3.0,11.0,4.0,1.0,37.93,Young Adult
German Shepherd,Large,Female,2.0,Neutered,Moderate,4.0,13.0,0.0,4.0,37.19,Young Adult
Siberian Husky,Medium,Female,13.0,Spayed,Very Active,1.0,13.0,1.0,1.0,25.85,Senior
Labrador Retriever,Large,Female,4.0,Spayed,Unknown,1.0,11.0,1.0,3.0,29.48,Young Adult
Boxer,Medium,Male,12.0,Spayed,Very Active,2.0,9.0,2.0,0.0,32.52,Senior
Siberian Husky,Medium,Female,9.0,Neutered,Unknown,3.0,12.0,1.0,1.0,26.36,Senior
Chihuahua,Small,Female,6.0,Neutered,Very Active,1.0,12.0,1.0,3.0,2.69,Adult
Australian Shepherd,Medium,Female,4.0,Unknown,Moderate,2.0,10.0,1.0,2.0,18.34,Young Adult
Boxer,Medium,Female,1.0,Spayed,Unknown,1.0,11.0,0.0,1.0,34.57,Puppy
Rottweiler,Large,Male,11.0,Neutered,Active,4.0,12.0,1.0,2.0,55.76,Senior
Dachshund,Small,Male,9.0,Spayed,Very Active,2.0,10.0,1.0,1.0,8.08,Senior
German Shepherd,Large,Male,6.0,Neutered,Unknown,1.0,11.0,2.0,1.0,30.39,Adult
Bulldog,Medium,Female,6.0,Neutered,Low,1.0,10.0,2.0,2.0,22.23,Adult
Yorkshire Terrier,Small,Male,4.0,Neutered,Low,5.0,11.0,1.0,2.0,3.1,Young Adult
Rottweiler,Large,Female,10.0,Neutered,Unknown,6.0,12.0,2.0,2.0,35.6,Senior
Siberian Husky,Medium,Male,1.0,Unknown,Active,2.0,12.0,1.0,2.0,24.9,Puppy
Doberman,Large,Female,8.0,Neutered,Active,1.0,11.0,0.0,4.0,32.26,Senior
Unknown,Medium,Female,2.0,Neutered,Low,3.0,11.0,1.0,1.0,22.23,Young Adult
Beagle,Small,Male,2.0,Spayed,Low,1.0,9.0,2.0,1.0,10.43,Young Adult
Siberian Husky,Medium,Female,8.0,Unknown,Very Active,3.0,14.0,3.0,1.0,18.0,Senior
Golden Retriever,Large,Male,4.0,Spayed,Active,1.0,9.0,3.0,2.0,26.58,Young Adult
Australian Shepherd,Medium,Male,4.0,Neutered,Low,1.0,13.0,1.0,2.0,21.7,Young Adult
Beagle,Small,Female,4.0,Neutered,Unknown,3.0,10.0,1.0,1.0,10.11,Young Adult
Yorkshire Terrier,Small,Male,4.0,Spayed,Active,1.0,12.0,0.0,1.0,3.21,Young Adult
Yorkshire Terrier,Small,Male,4.0,Spayed,Active,4.0,12.0,3.0,1.0,2.55,Young Adult
Beagle,Small,Male,3.0,Spayed,Active,3.0,11.0,0.0,0.0,13.61,Young Adult
Chihuahua,Small,Female,1.0,Neutered,Very Active,1.0,10.0,2.0,1.0,3.66,Puppy
Beagle,Small,Female,2.0,Neutered,Very Active,4.0,9.0,1.0,2.0,10.89,Young Adult
Doberman,Large,Female,3.0,Unknown,Very Active,1.0,11.0,1.0,1.0,34.19,Young Adult
Dachshund,Small,Male,11.0,Neutered,Active,1.0,13.0,2.0,1.0,8.73,Senior
Chihuahua,Small,Female,6.0,Neutered,Unknown,3.0,8.0,1.0,2.0,1.85,Adult
Poodle,Small,Female,2.0,Unknown,Low,2.0,14.0,2.0,1.0,22.68,Young Adult
Labrador Retriever,Large,Female,1.0,Unknown,Moderate,3.0,12.0,3.0,1.0,25.55,Puppy
Great Dane,Large,Male,10.0,Spayed,Very Active,2.0,8.0,1.0,2.0,61.48,Senior
Poodle,Small,Male,11.0,Unknown,Very Active,4.0,11.0,0.0,1.0,24.49,Senior
Beagle,Small,Female,10.0,Spayed,Very Active,1.0,11.0,1.0,0.0,12.96,Senior
Labrador Retriever,Large,Female,13.0,Neutered,Low,1.0,13.0,0.0,1.0,31.49,Senior
Doberman,Large,Female,12.0,Neutered,Active,2.0,11.0,0.0,1.0,28.02,Senior
Bulldog,Medium,Female,3.0,Spayed,Low,4.0,11.0,0.0,2.0,23.13,Young Adult
Labrador Retriever,Large,Female,13.0,Spayed,Active,0.0,12.0,2.0,1.0,30.4,Senior
Great Dane,Large,Male,3.0,Spayed,Moderate,2.0,10.0,2.0,0.0,65.26,Young Adult
Yorkshire Terrier,Small,Male,2.0,Unknown,Very Active,3.0,13.0,3.0,1.0,3.97,Young Adult
Yorkshire Terrier,Small,Female,8.0,Neutered,Low,2.0,8.0,1.0,3.0,3.15,Senior
Golden Retriever,Large,Female,2.0,Spayed,Active,1.0,8.0,1.0,0.0,28.12,Young Adult
Yorkshire Terrier,Small,Male,3.0,Unknown,Active,3.0,10.0,1.0,2.0,4.26,Young Adult
Siberian Husky,Medium,Female,1.0,Neutered,Active,3.0,13.0,1.0,2.0,23.13,Puppy
Siberian Husky,Medium,Male,4.0,Neutered,Low,4.0,11.0,1.0,1.0,23.13,Young Adult
German Shepherd,Large,Male,1.0,Neutered,Unknown,4.0,11.0,3.0,3.0,25.4,Puppy
Boxer,Unknown,Male,12.0,Spayed,Low,1.0,12.0,1.0,2.0,34.93,Senior
Great Dane,Large,Male,6.0,Unknown,Moderate,1.0,10.0,1.0,3.0,62.42,Adult
Great Dane,Large,Male,12.0,Neutered,Moderate,3.0,14.0,4.0,1.0,59.62,Senior
Great Dane,Large,Female,3.0,Spayed,Low,0.0,11.0,0.0,1.0,59.56,Young Adult
Beagle,Small,Female,13.0,Spayed,Unknown,2.0,10.0,4.0,2.0,14.87,Senior
Bulldog,Medium,Male,13.0,Unknown,Active,3.0,14.0,1.0,3.0,19.3,Senior
Yorkshire Terrier,Small,Female,3.0,Neutered,Unknown,5.0,9.0,2.0,1.0,4.82,Young Adult
Rottweiler,Large,Male,4.0,Unknown,Very Active,3.0,13.0,2.0,4.0,39.34,Young Adult
Golden Retriever,Large,Female,7.0,Spayed,Unknown,3.0,10.0,2.0,1.0,27.22,Adult
Siberian Husky,Medium,Female,6.0,Neutered,Very Active,2.0,8.0,2.0,0.0,24.74,Adult
Australian Shepherd,Medium,Male,10.0,Neutered,Unknown,1.0,11.0,2.0,1.0,22.68,Senior
Labrador Retriever,Large,Male,8.0,Unknown,Very Active,2.0,13.0,2.0,2.0,31.66,Senior
Golden Retriever,Large,Male,6.0,Spayed,Very Active,3.0,10.0,1.0,2.0,28.58,Adult
Dachshund,Small,Male,6.0,Unknown,Very Active,3.0,13.0,2.0,1.0,4.82,Adult
Poodle,Small,Female,1.0,Neutered,Very Active,3.0,14.0,3.0,3.0,26.76,Puppy
Boxer,Medium,Male,5.0,Unknown,Active,3.0,12.0,2.0,4.0,29.94,Adult
German Shepherd,Large,Male,12.0,Neutered,Low,3.0,11.0,1.0,3.0,22.68,Senior
Boxer,Medium,Male,13.0,Neutered,Unknown,3.0,12.0,1.0,1.0,34.92,Senior
Beagle,Small,Male,8.0,Spayed,Unknown,4.0,10.0,1.0,2.0,9.39,Senior
Doberman,Large,Female,13.0,Spayed,Very Active,3.0,12.0,0.0,2.0,43.63,Senior
Chihuahua,Small,Male,2.0,Spayed,Low,1.0,12.0,2.0,2.0,2.34,Young Adult
Siberian Husky,Medium,Female,6.0,Neutered,Moderate,3.0,10.0,1.0,2.0,23.13,Adult
Poodle,Small,Male,5.0,Spayed,Unknown,1.0,9.0,0.0,2.0,21.77,Adult
Dachshund,Small,Male,2.0,Neutered,Very Active,2.0,14.0,2.0,3.0,6.46,Young Adult
Labrador Retriever,Large,Female,6.0,Neutered,Very Active,2.0,8.0,0.0,3.0,29.48,Adult
Dachshund,Small,Female,7.0,Unknown,Low,3.0,13.0,2.0,1.0,6.45,Adult
Labrador Retriever,Large,Male,3.0,Neutered,Unknown,3.0,9.0,2.0,2.0,26.62,Young Adult
Chihuahua,Small,Female,4.0,Spayed,Active,2.0,12.0,2.0,2.0,2.11,Young Adult
Yorkshire Terrier,Small,Female,7.0,Spayed,Low,3.0,11.0,2.0,2.0,4.68,Adult
Boxer,Medium,Male,5.0,Spayed,Low,0.0,10.0,2.0,3.0,29.11,Adult
Dachshund,Small,Male,5.0,Unknown,Very Active,5.0,11.0,3.0,1.0,7.89,Adult
Australian Shepherd,Medium,Male,2.0,Unknown,Unknown,3.0,10.0,1.0,3.0,19.96,Young Adult
Doberman,Large,Female,5.0,Unknown,Low,2.0,13.0,0.0,0.0,34.76,Adult
Beagle,Small,Male,7.0,Spayed,Unknown,1.0,10.0,1.0,1.0,14.97,Adult
Doberman,Large,Male,13.0,Neutered,Moderate,2.0,11.0,3.0,1.0,35.24,Senior
Yorkshire Terrier,Small,Female,9.0,Unknown,Active,3.0,9.0,2.0,3.0,3.08,Senior
Unknown,Medium,Female,4.0,Spayed,Active,0.0,13.0,3.0,3.0,29.03,Young Adult
Dachshund,Small,Female,9.0,Spayed,Active,1.0,10.0,2.0,1.0,7.24,Senior
Siberian Husky,Medium,Male,7.0,Spayed,Unknown,1.0,11.0,2.0,0.0,19.05,Adult
Siberian Husky,Medium,Male,5.0,Neutered,Moderate,3.0,9.0,2.0,0.0,24.9,Adult
Dachshund,Small,Female,12.0,Unknown,Active,1.0,11.0,1.0,3.0,4.69,Senior
Boxer,Medium,Male,2.0,Neutered,Active,1.0,11.0,1.0,1.0,31.93,Young Adult
Yorkshire Terrier,Small,Female,13.0,Neutered,Moderate,4.0,12.0,1.0,2.0,4.29,Senior
Australian Shepherd,Medium,Male,2.0,Neutered,Active,3.0,12.0,3.0,2.0,21.77,Young Adult
Beagle,Small,Female,6.0,Unknown,Active,0.0,11.0,0.0,2.0,10.57,Adult
German Shepherd,Large,Male,10.0,Neutered,Very Active,2.0,9.0,2.0,0.0,27.67,Senior
Poodle,Small,Female,10.0,Unknown,Very Active,0.0,11.0,2.0,1.0,29.48,Senior
Poodle,Small,Male,1.0,Neutered,Moderate,2.0,12.0,2.0,4.0,28.12,Puppy
Boxer,Medium,Female,11.0,Neutered,Low,7.0,9.0,2.0,2.0,35.66,Senior
Australian Shepherd,Medium,Female,1.0,Neutered,Moderate,0.0,12.0,0.0,2.0,20.41,Puppy
Boxer,Medium,Female,2.0,Unknown,Very Active,4.0,11.0,3.0,2.0,27.43,Young Adult
Bulldog,Medium,Female,2.0,Unknown,Active,3.0,9.0,1.0,0.0,20.41,Young Adult
Bulldog,Medium,Male,6.0,Unknown,Unknown,4.0,11.0,1.0,1.0,22.47,Adult
Bulldog,Medium,Male,10.0,Spayed,Active,1.0,9.0,2.0,1.0,23.18,Senior
Doberman,Large,Female,8.0,Spayed,Unknown,3.0,12.0,2.0,2.0,42.33,Senior
Labrador Retriever,Large,Female,10.0,Spayed,Unknown,2.0,11.0,2.0,4.0,35.4,Senior
Chihuahua,Small,Female,6.0,Spayed,Very Active,0.0,11.0,1.0,1.0,3.78,Adult
Chihuahua,Small,Male,1.0,Unknown,Unknown,3.0,12.0,1.0,2.0,1.01,Puppy
Dachshund,Small,Female,5.0,Spayed,Low,2.0,10.0,1.0,3.0,5.31,Adult
Doberman,Large,Female,4.0,Spayed,Low,5.0,11.0,2.0,0.0,44.93,Young Adult
